Suburb,Rooms,Type,Price,Method,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude
Airport West,2,t,450000,S,3042,2,1,1,110,90,2015,-37.7216,144.871
Airport West,2,u,515000,S,3042,2,1,1,141,73,2013,-37.7298,144.8883
Airport West,2,u,530000,S,3042,2,1,1,120,94,2012,-37.7234,144.8792
Airport West,3,h,895000,PI,3042,3,1,6,1063,133,1975,-37.7249,144.8728
Airport West,3,h,805000,S,3042,3,1,1,0,105,1950,-37.7217,144.8783
Airport West,3,u,752000,S,3042,3,1,1,265,130,1993,-37.7302,144.8855
Airport West,3,t,700000,PI,3042,3,2,2,165,133,2009,-37.727,144.887
Airport West,3,h,830000,S,3042,3,1,2,971,113,1960,-37.7186,144.876
Airport West,2,h,675000,S,3042,2,1,1,612,100,1975,-37.7187,144.8765
Airport West,3,h,1042000,S,3042,3,2,5,612,174,1950,-37.7173,144.8796
Airport West,4,h,773000,S,3042,5,3,4,531,309,1980,-37.7263,144.8679
Airport West,3,h,810000,PI,3042,3,3,2,555,192,1980,-37.7285,144.8694
Airport West,3,h,715000,S,3042,3,2,2,422,126,1995,-37.7164,144.8792
Airport West,3,t,540000,SP,3042,2,2,1,161,101,2010,-37.7231,144.8802
Airport West,3,t,825000,SP,3042,3,2,1,293,102,1960,-37.72,144.8776
Airport West,3,h,685000,S,3042,3,1,1,579,113,1975,-37.7226,144.8733
Airport West,4,h,900000,S,3042,4,2,3,628,146,1975,-37.7256,144.8739
Albert Park,2,h,1275000,S,3206,2,1,0,120,82,1900,-37.8459,144.9555
Albert Park,3,h,2850000,PI,3206,3,2,0,211,198,1890,-37.8481,144.9499
Albert Park,3,h,1850000,S,3206,3,2,0,128,133,1890,-37.8452,144.9488
Albert Park,2,h,1436000,S,3206,2,1,0,130,81,1900,-37.8431,144.9565
Albert Park,4,h,2300000,S,3206,4,2,1,153,180,1880,-37.8447,144.9523
Albert Park,3,h,1800000,VB,3206,3,2,1,132,159,1996,-37.8415,144.952
Albert Park,2,h,2120000,S,3206,2,1,1,199,107,1900,-37.8422,144.9554
Albert Park,3,h,1800000,S,3206,3,2,1,90,122,1900,-37.8421,144.9571
Albert Park,3,h,2615000,S,3206,3,2,1,177,181,1880,-37.8415,144.9585
Albert Park,3,h,1370000,S,3206,3,2,2,0,85,2000,-37.8451,144.9511
Albert Park,2,h,1322500,S,3206,2,1,0,149,98,1890,-37.8443,144.9481
Albert Park,2,h,1562500,S,3206,2,1,0,141,83,1890,-37.8424,144.9562
Albert Park,3,h,2000000,VB,3206,3,2,1,211,147,1900,-37.847,144.9575
Albert Park,3,h,3010000,S,3206,3,2,0,147,146,1890,-37.8473,144.9551
Albert Park,4,h,2800000,VB,3206,4,3,1,327,254,1910,-37.8467,144.9475
Albert Park,3,h,2100000,SP,3206,2,1,1,120,123,1900,-37.8427,144.9546
Albert Park,3,h,2000000,PI,3206,3,1,1,238,131,1890,-37.8461,144.9528
Albert Park,1,u,442500,S,3206,1,1,0,0,34,1970,-37.8421,144.9517
Albert Park,4,h,4735000,S,3206,4,2,1,330,207,1910,-37.8477,144.9558
Albert Park,4,h,2140000,S,3206,3,2,1,183,145,1880,-37.8434,144.9495
Albert Park,2,h,980000,S,3206,2,1,0,79,68,1890,-37.8387,144.9519
Albert Park,3,h,1740000,PI,3206,3,2,2,147,134,1890,-37.8448,144.9453
Albert Park,1,h,985000,S,3206,1,1,0,81,54,1900,-37.8411,144.9497
Alphington,4,h,2000000,S,3078,3,2,4,853,263,1930,-37.7707,145.0318
Alphington,4,h,1717500,S,3078,4,2,1,599,203,1925,-37.7717,145.031
Alphington,5,h,2840000,S,3078,5,4,4,809,165,1910,-37.775,145.0268
Alphington,2,u,525500,S,3078,2,1,1,88,60,1960,-37.7791,145.0306
Alphington,2,t,805000,S,3078,2,2,3,155,140,2004,-37.7804,145.0308
Alphington,4,h,1830000,S,3078,4,2,2,606,112,1970,-37.7743,145.0316
Alphington,4,h,2100000,S,3078,4,2,2,575,271,2008,-37.7723,145.0319
Alphington,3,h,865000,SP,3078,3,1,1,180,131,2010,-37.7802,145.0243
Alphington,2,u,390000,VB,3078,2,1,1,0,60,1960,-37.7773,145.0314
Alphington,2,u,512000,S,3078,2,1,1,0,61,1965,-37.7805,145.0262
Alphington,4,h,1900000,SP,3078,4,2,2,556,272,1930,-37.7844,145.0225
Alphington,4,h,1950000,S,3078,4,2,3,589,210,1920,-37.7719,145.0309
Altona,3,h,520000,VB,3018,3,2,1,352,242,2015,-37.87,144.825
Altona,5,h,1525000,S,3018,5,3,3,729,268,2005,-37.8721,144.8105
Altona,2,t,720000,S,3018,2,1,2,292,125,2013,-37.8687,144.8197
Altona,3,h,1120000,S,3018,3,1,2,506,120,1930,-37.8693,144.8375
Altona,4,h,1780000,SP,3018,4,3,6,1057,220,1962,-37.8681,144.819
Altona,3,u,630000,S,3018,2,1,2,311,94,1955,-37.8702,144.8143
Altona,3,h,660000,VB,3018,3,1,1,602,123,1955,-37.8616,144.8116
Altona,2,u,580000,S,3018,2,1,1,225,93,1988,-37.8696,144.827
Altona,3,h,1335000,S,3018,3,1,4,777,22,1953,-37.8697,144.8249
Altona,2,u,510000,S,3018,2,1,1,127,76,1990,-37.8686,144.8182
Altona,2,u,425000,S,3018,2,1,2,115,57,1980,-37.871,144.8185
Altona,2,u,391000,SP,3018,2,1,1,0,65,1965,-37.8678,144.8384
Altona,4,h,845000,S,3018,4,1,2,745,130,1950,-37.8658,144.8155
Altona,3,u,730000,SP,3018,3,2,1,69,141,2014,-37.868,144.8286
Altona,2,u,447000,S,3018,2,1,1,137,77,1990,-37.8655,144.8299
Altona,3,h,678000,S,3018,3,1,2,606,87,1950,-37.8608,144.8124
Altona,2,u,580000,PI,3018,2,2,1,175,76,2013,-37.8687,144.8268
Altona,3,h,840000,SP,3018,3,2,2,534,136,1965,-37.86,144.8245
Altona,3,u,577000,S,3018,3,2,1,205,113,2007,-37.8684,144.815
Altona,2,h,857000,SP,3018,2,2,1,675,100,1950,-37.8653,144.8129
Altona,3,u,730000,SP,3018,3,2,1,70,3,2014,-37.868,144.8285
Altona,2,h,535600,SP,3018,2,1,1,154,91,1996,-37.8646,144.8272
Altona North,5,h,1085000,S,3025,5,3,6,592,251,1965,-37.8388,144.8567
Altona North,3,h,781000,S,3025,3,1,2,533,117,1970,-37.8291,144.835
Altona North,2,t,421000,S,3025,2,1,1,77,77,2009,-37.8351,144.8529
Altona North,3,h,683000,S,3025,3,1,2,534,167,1967,-37.8284,144.8355
Altona North,3,h,720000,VB,3025,3,2,1,0,130,2012,-37.8379,144.8583
Altona North,3,h,588000,S,3025,3,1,1,328,118,1970,-37.838,144.8555
Altona North,3,h,710000,PI,3025,3,1,3,540,116,1960,-37.8294,144.8378
Altona North,4,h,875000,SP,3025,3,1,4,559,169,1965,-37.8448,144.8529
Altona North,3,h,675000,S,3025,3,2,2,171,109,2012,-37.8337,144.8554
Altona North,3,h,708000,S,3025,3,1,2,585,97,1960,-37.8258,144.8523
Altona North,4,h,693000,SP,3025,4,2,4,315,170,2008,-37.8391,144.8467
Altona North,3,h,620000,SP,3025,5,2,2,276,100,2010,-37.8262,144.8443
Altona North,3,h,728500,S,3025,3,1,1,531,157,1960,-37.8277,144.8385
Altona North,3,h,931000,S,3025,3,2,1,590,160,1950,-37.8382,144.8649
Altona North,3,h,815000,S,3025,3,2,3,555,130,1960,-37.8318,144.8388
Altona North,4,h,1200000,SP,3025,4,1,4,633,158,1960,-37.8375,144.8541
Altona North,2,u,292000,S,3025,2,1,1,153,70,1970,-37.8332,144.8649
Armadale,2,u,599000,S,3143,2,1,1,0,76,1964,-37.8543,145.0262
Armadale,3,u,995000,S,3143,3,2,2,0,100,1998,-37.8552,145.016
Armadale,3,t,1205000,S,3143,3,2,2,101,105,2000,-37.854,145.0135
Armadale,3,h,1939000,S,3143,3,2,2,296,150,1889,-37.8614,145.0274
Armadale,3,h,1870000,S,3143,3,1,1,217,116,1888,-37.8592,145.0182
Armadale,3,t,1918000,SP,3143,3,2,2,0,165,1995,-37.8537,145.0267
Armadale,3,h,2050000,S,3143,3,2,1,205,116,1910,-37.8574,145.0281
Armadale,3,u,735000,PI,3143,3,2,1,2113,14,1970,-37.8543,145.0262
Armadale,1,h,1435000,SP,3143,2,2,1,144,107,1900,-37.8564,145.0228
Armadale,1,u,280000,PI,3143,1,1,1,0,38,1975,-37.8619,145.0185
Armadale,2,u,592500,S,3143,2,1,1,0,73,1970,-37.8574,145.0174
Armadale,2,h,1210000,S,3143,2,1,0,249,96,1910,-37.8543,145.016
Armadale,4,h,2801000,S,3143,4,2,2,624,222,1900,-37.8536,145.0173
Armadale,3,h,1800000,PI,3143,3,2,2,405,121,1910,-37.8545,145.0145
Armadale,4,h,2200000,PI,3143,4,1,2,495,163,1900,-37.8613,145.0264
Armadale,6,h,5525000,S,3143,5,3,4,1491,516,1935,-37.8602,145.013
Armadale,1,u,440000,SP,3143,1,1,1,0,53,1970,-37.8531,145.0115
Armadale,3,h,1300000,VB,3143,2,1,2,212,106,1900,-37.8542,145.0149
Armadale,2,u,704000,SP,3143,2,1,1,0,74,1969,-37.8573,145.0186
Armadale,2,u,620000,VB,3143,3,1,1,0,98,1970,-37.8596,145.0198
Armadale,3,h,1900000,S,3143,3,1,2,328,108,1900,-37.8559,145.0158
Armadale,2,u,710000,S,3143,2,1,1,2471,80,1970,-37.8573,145.0186
Armadale,2,u,598000,S,3143,2,1,1,0,88,1970,-37.8593,145.0156
Armadale,3,h,1285000,S,3143,3,1,2,186,80,1920,-37.8554,145.0173
Armadale,2,u,520000,S,3143,1,1,1,0,76,1970,-37.8618,145.0183
Armadale,4,h,3625000,S,3143,4,1,2,709,251,1900,-37.8574,145.016
Armadale,4,h,4200000,VB,3143,4,3,3,563,333,2000,-37.8582,145.0138
Armadale,3,t,1101000,S,3143,3,1,2,103,3,2000,-37.8542,145.0135
Armadale,3,h,3512500,S,3143,3,2,2,617,285,1998,-37.8557,145.0264
Armadale,3,u,869000,S,3143,2,1,1,0,91,1940,-37.853,145.0264
Armadale,1,u,567000,S,3143,1,1,1,0,53,2013,-37.8549,145.0113
Ascot Vale,3,h,940000,S,3032,3,1,2,298,108,1920,-37.7777,144.9195
Ascot Vale,2,u,467000,SP,3032,2,1,1,0,62,1980,-37.7761,144.9201
Ascot Vale,3,h,1380000,SP,3032,3,2,2,277,174,1910,-37.7777,144.9221
Ascot Vale,2,u,490000,VB,3032,2,1,1,423,62,1970,-37.7736,144.9015
Ascot Vale,4,h,1850000,S,3032,4,3,1,478,270,1900,-37.7729,144.9179
Ascot Vale,3,h,971000,SP,3032,3,2,2,285,128,1900,-37.775,144.9091
Ascot Vale,2,h,710000,PI,3032,2,1,1,214,77,1890,-37.7776,144.9142
Ascot Vale,6,h,2425000,PI,3032,6,3,2,1014,435,1887,-37.7721,144.9184
Ascot Vale,2,h,750000,SP,3032,2,1,1,226,92,1920,-37.7745,144.9093
Ascot Vale,2,h,1053000,S,3032,2,1,1,269,109,1900,-37.7748,144.929
Ascot Vale,3,h,1377000,S,3032,3,1,1,417,168,1900,-37.7756,144.9208
Ascot Vale,3,h,970000,S,3032,3,1,2,350,125,1904,-37.7759,144.91
Ascot Vale,2,h,751000,PI,3032,2,1,1,118,79,1890,-37.7807,144.9288
Ascot Vale,2,h,950000,SP,3032,2,1,1,173,102,1900,-37.7731,144.9206
Ascot Vale,2,u,685000,S,3032,2,1,2,228,90,1995,-37.7718,144.9066
Ascot Vale,3,h,1230000,S,3032,4,1,2,594,148,1960,-37.7819,144.9064
Ascot Vale,2,h,770000,PI,3032,2,1,1,226,87,1900,-37.7774,144.9186
Ascot Vale,4,h,890000,SP,3032,4,1,1,300,185,1890,-37.7766,144.9143
Ascot Vale,3,h,1440000,S,3032,3,1,1,487,131,1900,-37.7725,144.9146
Ascot Vale,3,h,1000000,PI,3032,3,2,2,440,120,1955,-37.7746,144.9031
Ascot Vale,3,h,1435000,S,3032,3,2,2,532,147,1950,-37.7737,144.904
Ascot Vale,1,u,390000,S,3032,1,1,1,0,58,1972,-37.7723,144.9094
Ascot Vale,3,h,1425000,PI,3032,3,2,2,495,139,1920,-37.7821,144.9055
Ascot Vale,4,h,1340000,S,3032,3,2,2,683,232,1978,-37.775,144.932
Ascot Vale,3,h,955000,S,3032,3,1,1,263,117,1910,-37.7753,144.9116
Ascot Vale,4,h,1100000,VB,3032,4,2,5,559,195,1920,-37.7791,144.9136
Ascot Vale,2,u,432000,S,3032,2,1,1,0,62,1978,-37.773,144.9303
Ascot Vale,4,h,1640000,S,3032,4,3,2,562,204,1890,-37.782,144.903
Ascot Vale,6,h,1430000,S,3032,4,2,1,461,286,1900,-37.78,144.9295
Ascot Vale,2,u,610000,SP,3032,2,1,1,301,104,1995,-37.7791,144.914
Ascot Vale,3,h,940000,S,3032,3,3,1,491,127,1950,-37.7727,144.9136
Ascot Vale,3,h,890000,SP,3032,3,1,1,242,110,1920,-37.7765,144.9114
Ascot Vale,3,h,1180000,SP,3032,3,2,2,617,149,1930,-37.7742,144.906
Ascot Vale,4,h,1480000,S,3032,4,2,2,597,180,1939,-37.7757,144.9088
Ascot Vale,2,t,865000,SP,3032,2,2,1,146,132,2015,-37.7713,144.9038
Ascot Vale,2,u,442000,S,3032,2,1,1,0,62,1975,-37.7733,144.9219
Ascot Vale,3,h,1037500,S,3032,3,1,2,506,110,1920,-37.7779,144.9133
Ascot Vale,3,t,1050000,S,3032,3,2,2,318,160,2013,-37.7744,144.9035
Ascot Vale,2,u,440000,S,3032,2,1,1,0,65,1970,-37.7749,144.9137
Ascot Vale,4,h,1430000,S,3032,4,2,0,418,158,1900,-37.7766,144.9187
Ascot Vale,3,h,1130000,S,3032,3,2,1,272,157,1900,-37.7774,144.928
Ascot Vale,3,h,1135000,S,3032,3,1,1,296,104,1910,-37.777,144.9176
Ascot Vale,4,h,950000,PI,3032,4,2,1,298,147,1920,-37.7778,144.9131
Ascot Vale,2,u,390000,PI,3032,2,1,1,1957,69,2012,-37.7731,144.9074
Ascot Vale,4,h,1345000,S,3032,4,1,1,552,155,1920,-37.7769,144.9138
Ascot Vale,3,h,1381500,S,3032,3,2,2,416,168,1900,-37.7727,144.9055
Ascot Vale,3,h,940000,S,3032,3,2,2,285,172,2011,-37.7778,144.9061
Ascot Vale,3,h,995000,S,3032,3,2,1,314,177,2010,-37.7778,144.9042
Ascot Vale,3,h,786000,S,3032,3,2,1,576,120,1940,-37.7816,144.9217
Ascot Vale,2,h,705000,PI,3032,2,1,3,252,108,1910,-37.7825,144.9206
Ascot Vale,2,h,760000,PI,3032,2,1,1,124,77,1900,-37.7807,144.9285
Ascot Vale,3,t,1000000,S,3032,3,2,2,200,144,2003,-37.7766,144.9277
Ascot Vale,3,h,1305000,S,3032,2,1,1,278,166,1900,-37.7768,144.9223
Ascot Vale,3,h,1215000,S,3032,3,1,1,452,175,1960,-37.7762,144.9174
Ascot Vale,2,u,545000,S,3032,2,1,2,194,71,1900,-37.7772,144.9118
Ascot Vale,4,h,1705000,S,3032,4,2,4,598,273,2012,-37.7774,144.9104
Ashburton,4,h,2650000,S,3147,4,3,2,753,399,2015,-37.8669,145.0767
Ashburton,3,h,1670000,S,3147,3,2,2,599,220,1930,-37.8673,145.0688
Ashburton,3,t,2050000,S,3147,3,3,4,310,315,2014,-37.874,145.0714
Ashburton,3,h,1555000,S,3147,3,2,2,731,149,1935,-37.8666,145.0676
Ashburton,3,h,1100000,PI,3147,3,3,2,276,178,2004,-37.8699,145.0778
Ashburton,3,h,1337000,S,3147,3,1,2,583,112,1950,-37.8685,145.0786
Ashburton,8,h,2950000,S,3147,9,7,4,1472,618,2009,-37.8729,145.0788
Ashburton,3,h,1518000,S,3147,3,2,2,516,145,1920,-37.8675,145.0668
Ashburton,3,h,1710000,S,3147,3,1,2,806,101,1950,-37.8695,145.084
Ashburton,3,h,1655000,S,3147,3,1,3,780,152,1940,-37.8599,145.0815
Ashburton,4,h,1550000,VB,3147,4,2,2,780,180,1938,-37.86,145.0817
Ashburton,3,h,1662000,S,3147,3,2,2,351,228,2006,-37.8742,145.07
Ashburton,3,h,1665000,S,3147,3,2,3,702,145,1945,-37.8737,145.0695
Ashburton,5,h,3510000,S,3147,5,5,2,755,444,2015,-37.8598,145.0796
Ashburton,3,t,900000,S,3147,3,2,2,153,110,1990,-37.8655,145.0808
Ashburton,5,h,2752000,S,3147,6,4,2,1075,390,2010,-37.8714,145.073
Ashburton,3,h,1500000,VB,3147,3,2,2,710,139,1945,-37.8653,145.0897
Ashburton,4,h,1800000,S,3147,4,2,4,749,206,1950,-37.8669,145.077
Ashburton,3,h,1830000,S,3147,3,2,3,724,168,1940,-37.8619,145.0879
Ashburton,3,h,1415000,S,3147,3,1,1,605,111,1950,-37.8703,145.0774
Ashburton,2,h,1440000,PI,3147,2,1,1,687,104,1940,-37.872,145.0692
Ashburton,4,t,1250000,VB,3147,4,2,2,321,199,2007,-37.8693,145.08
Ashburton,5,h,1600000,S,3147,5,3,4,700,266,1950,-37.8724,145.0758
Ashburton,4,h,1860000,S,3147,4,2,3,696,274,2000,-37.8711,145.0746
Ashburton,4,h,1790000,PI,3147,4,2,2,514,240,1935,-37.8664,145.0772
Ashburton,4,h,1950000,S,3147,4,2,2,844,278,1940,-37.8715,145.0688
Ashburton,3,h,1650000,S,3147,3,1,1,697,164,1947,-37.8636,145.0903
Ashwood,4,h,1200000,SP,3147,4,3,2,372,201,2016,-37.8716,145.0999
Ashwood,2,h,1075000,VB,3147,2,1,2,695,114,1950,-37.8694,145.0944
Ashwood,4,h,1500000,S,3147,2,2,2,621,203,2000,-37.8647,145.1023
Ashwood,2,t,700000,S,3147,2,1,2,367,110,1970,-37.8662,145.109
Ashwood,3,h,761000,PI,3147,3,2,4,400,94,1950,-37.8675,145.106
Ashwood,3,h,1365000,S,3147,3,1,1,792,792,1950,-37.864,145.0972
Ashwood,4,h,1100000,VB,3147,3,2,2,803,152,1970,-37.8621,145.1126
Ashwood,2,u,690000,S,3147,2,1,1,216,90,2003,-37.8711,145.1017
Ashwood,3,h,1631000,S,3147,3,2,3,782,215,1950,-37.8621,145.1021
Ashwood,4,h,1500000,S,3147,4,2,1,593,255,1930,-37.8655,145.096
Ashwood,5,h,1529500,S,3147,5,3,2,585,317,2000,-37.8637,145.1024
Ashwood,2,u,600000,S,3147,2,1,1,153,80,1970,-37.8696,145.0962
Ashwood,4,h,1240000,S,3147,4,2,2,766,192,1950,-37.8629,145.1097
Ashwood,2,u,700000,S,3147,2,1,2,192,88,2007,-37.8709,145.102
Ashwood,2,h,1110000,S,3147,2,1,1,586,86,1950,-37.8683,145.1082
Ashwood,3,h,1305000,S,3147,3,1,1,760,120,1960,-37.858,145.1038
Ashwood,3,h,855000,S,3147,3,2,1,320,85,1958,-37.87,145.1103
Ashwood,3,t,900500,S,3147,3,2,2,256,134,2012,-37.8655,145.1096
Ashwood,3,h,1200000,VB,3147,3,2,2,839,198,1970,-37.8614,145.1098
Ashwood,3,t,830000,S,3147,2,1,2,212,130,2012,-37.8723,145.1089
Avondale Heights,3,h,850000,S,3034,3,1,1,593,118,1970,-37.7677,144.8674
Avondale Heights,3,h,750000,SP,3034,3,1,1,0,103,1980,-37.7634,144.8611
Avondale Heights,3,t,851000,S,3034,3,3,1,557,181,2017,-37.77,144.8572
Avondale Heights,4,h,1155000,S,3034,3,2,2,569,225,2008,-37.7654,144.8655
Avondale Heights,3,h,680000,S,3034,3,1,2,570,120,1970,-37.7591,144.8542
Avondale Heights,3,h,627500,SP,3034,3,1,1,550,143,1970,-37.7632,144.8622
Avondale Heights,4,h,950000,S,3034,4,3,3,761,281,1970,-37.7524,144.8714
Avondale Heights,3,h,705000,S,3034,3,1,1,581,106,1960,-37.7691,144.8575
Avondale Heights,4,h,1100000,VB,3034,4,3,2,873,395,1992,-37.7609,144.8639
Avondale Heights,3,h,892500,S,3034,3,1,1,586,118,1965,-37.7642,144.8603
Avondale Heights,2,h,522500,S,3034,2,1,1,220,101,1995,-37.756,144.8641
Avondale Heights,4,h,680000,PI,3034,4,2,2,554,140,1960,-37.7649,144.8633
Avondale Heights,3,h,875000,S,3034,3,1,3,812,117,1960,-37.765,144.8578
Avondale Heights,4,h,762000,S,3034,4,2,2,589,150,1961,-37.7573,144.8534
Avondale Heights,2,u,411000,PI,3034,2,1,1,0,85,1995,-37.7608,144.863
Avondale Heights,3,h,805000,S,3034,3,2,2,593,103,1970,-37.7607,144.8581
Avondale Heights,3,h,634000,S,3034,4,2,1,582,153,1950,-37.7584,144.8568
Balaclava,4,h,1819000,S,3183,3,2,1,244,180,1900,-37.8668,144.9928
Balaclava,2,u,410000,PI,3183,2,1,2,0,61,1965,-37.8731,144.9958
Balaclava,2,t,1015000,S,3183,2,1,2,114,120,2000,-37.8723,144.9961
Balaclava,2,u,502500,S,3183,2,1,1,0,65,1960,-37.8725,144.9952
Balaclava,2,u,520000,S,3183,2,1,0,0,58,1970,-37.8742,144.9972
Balaclava,2,u,442000,SP,3183,2,1,1,0,61,1960,-37.8726,144.9962
Balaclava,3,h,1193000,S,3183,3,1,1,178,100,1920,-37.8663,144.9948
Balaclava,2,u,416000,S,3183,2,1,1,0,49,1960,-37.8678,144.9966
Balaclava,2,u,474000,S,3183,2,1,1,0,59,1970,-37.8667,144.9917
Balaclava,2,h,981000,S,3183,2,1,0,159,84,1930,-37.874,144.9933
Balaclava,3,h,1690000,S,3183,3,2,2,339,159,1890,-37.872,144.9909
Balaclava,2,u,540000,VB,3183,2,1,1,483,51,1970,-37.8727,144.9969
Balwyn,2,h,2100000,S,3103,2,1,1,659,123,1920,-37.8094,145.0807
Balwyn,4,h,1800000,VB,3103,4,2,2,715,218,1985,-37.811,145.0958
Balwyn,2,t,1255000,S,3103,2,1,1,208,129,2000,-37.8128,145.0975
Balwyn,3,u,1070000,SA,3103,3,2,2,206,112,1998,-37.8161,145.0812
Balwyn,5,h,2570000,PI,3103,5,3,2,715,420,2009,-37.8028,145.0768
Balwyn,4,h,2400000,VB,3103,4,2,2,744,226,1985,-37.8147,145.0748
Balwyn,2,u,806000,S,3103,2,1,1,122,97,1977,-37.8124,145.0916
Balwyn,6,h,4000000,VB,3103,6,4,7,2051,449,1935,-37.8051,145.1016
Balwyn,5,h,2250000,PI,3103,5,3,2,600,356,2006,-37.8061,145.0801
Balwyn,5,h,2800000,VB,3103,5,3,2,678,349,2001,-37.8048,145.0708
Balwyn,2,h,1850000,VB,3103,3,1,1,1015,166,1930,-37.8074,145.0826
Balwyn,3,h,700000,VB,3103,3,1,1,188,110,1970,-37.8065,145.065
Balwyn,2,h,500000,S,3103,2,1,1,0,72,1960,-37.8162,145.0841
Balwyn,3,h,2125000,SP,3103,3,2,2,699,252,1985,-37.814,145.0966
Balwyn,4,h,1800000,PI,3103,3,2,2,577,200,1948,-37.8032,145.0693
Balwyn,2,u,635000,S,3103,2,1,1,0,70,2014,-37.8116,145.0724
Balwyn,2,u,526000,S,3103,2,1,1,0,73,1960,-37.8144,145.0993
Balwyn,3,h,905000,S,3103,3,1,2,281,150,1995,-37.8013,145.0652
Balwyn,4,h,1750000,PI,3103,4,3,2,453,308,2016,-37.8044,145.1006
Balwyn,2,t,760000,S,3103,2,1,1,121,100,1960,-37.8112,145.0881
Balwyn,3,t,1367000,S,3103,3,2,2,219,164,2003,-37.8125,145.0849
Balwyn,4,t,1400000,PI,3103,4,3,2,241,240,2009,-37.8042,145.1042
Balwyn,4,h,3270000,S,3103,4,2,4,935,241,1927,-37.8157,145.0795
Balwyn,2,u,625000,PI,3103,2,1,1,115,104,1960,-37.8122,145.0879
Balwyn,4,h,2730000,S,3103,4,3,2,674,336,1997,-37.8068,145.0786
Balwyn,2,u,460000,VB,3103,2,1,1,0,79,1950,-37.8152,145.0839
Balwyn,2,u,1053000,S,3103,2,1,2,231,98,1985,-37.8123,145.0821
Balwyn,3,t,1472000,S,3103,3,2,2,306,170,1995,-37.8106,145.0848
Balwyn,2,u,754000,PI,3103,2,1,1,87,88,1990,-37.8134,145.081
Balwyn,4,h,2188000,S,3103,4,2,2,752,253,1981,-37.8149,145.0747
Balwyn,2,u,755000,PI,3103,2,1,1,213,92,1980,-37.8092,145.0789
Balwyn,4,h,3290000,S,3103,4,3,2,1007,350,1910,-37.8135,145.0995
Balwyn,4,h,2410000,S,3103,4,2,1,685,207,1940,-37.8056,145.071
Balwyn,2,u,650000,S,3103,2,1,1,0,150,1960,-37.8147,145.084
Balwyn,4,h,2000000,PI,3103,3,1,2,739,291,1930,-37.8039,145.0631
Balwyn,4,h,1900000,S,3103,4,2,1,665,155,1940,-37.8057,145.0825
Balwyn,3,h,3401000,S,3103,3,2,1,706,166,1930,-37.8161,145.0748
